timestamp,controller_side_or_job_label,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z
0,95430451631546,Right,-1,730395,0,1193677,5,612656,0,6486396,179,5873,24,1353
1,0003354549408,Right,-1,986373,1,083493,6,206448,329,5598,221,2952,265,2569
1,03827834129333,Right,-1,980734,1,062756,6,202694,333,541,228,8471,249,0942
1,06595826148987,Right,-1,979701,1,063943,6,202754,333,5308,229,1847,248,8819
1,08248651027679,Right,-1,97833,1,06499,6,202557,333,4016,229,405,248,8405
1,0965815782547,Right,-1,977372,1,065495,6,202403,333,3145,229,4455,248,8505
1,10874176025391,Right,-1,975788,1,066221,6,202003,333,199,229,4404,248,8816
1,12168323993683,Right,-1,973347,1,067119,6,201177,333,0656,229,3414,248,9996
1,13575673103333,Right,-1,970053,1,068388,6,199973,332,8921,229,1876,249,2375
1,14990437030792,Right,-1,964335,1,0701,6,198106,332,5637,228,9603,249,5976
1,16368508338928,Right,-1,959523,1,071977,6,196441,332,2476,228,6883,249,9175
1,17818474769592,Right,-1,956564,1,0728,6,195416,332,123,228,4234,250,0514
1,19187188148499,Right,-1,951845,1,073949,6,193739,332,0466,227,8477,250,2289
1,20596671104431,Right,-1,949429,1,074571,6,192924,332,0447,227,5213,250,2946
1,21951687335968,Right,-1,944105,1,075952,6,191254,332,0151,226,8899,250,4994
1,23355066776276,Right,-1,939671,1,077578,6,190236,331,8375,226,641,250,6618
1,24702835083008,Right,-1,936595,1,078815,6,189659,331,626,226,5107,250,8806
1,26102542877197,Right,-1,930853,1,081212,6,188576,331,199,226,2025,251,3617
1,27527904510498,Right,-1,928564,1,082463,6,188013,331,0181,225,98,251,5797
1,28891730308533,Right,-1,922603,1,084798,6,186519,330,6588,225,3575,252,0836
1,30285453796387,Right,-1,917914,1,086763,6,184873,330,4092,224,6802,252,6212
1,31673741340637,Right,-1,915189,1,08783,6,183639,330,322,224,1835,253,0017
1,33069264888763,Right,-1,909862,1,089638,6,181591,330,1338,223,3511,253,6467
1,34443140029907,Right,-1,908414,1,090389,6,180879,330,048,223,0983,253,8176
1,35841619968414,Right,-1,903268,1,092111,6,178917,329,7805,222,348,254,4323
1,37224757671356,Right,-1,899799,1,093483,6,177308,329,5865,221,867,254,9092
1,38623988628387,Right,-1,898147,1,094129,6,176459,329,5244,221,6909,255,1067
1,40006482601166,Right,-1,895263,1,094966,6,174506,329,5116,221,6339,255,3868
1,41413164138794,Right,-1,89493,1,094938,6,17395,329,5932,221,7532,255,3518
