timestamp,controller_side_or_job_label,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z
0,947835803031921,Left,-1,707408,0,1307852,5,611256,6,517618,176,2201,125,294
1,01436603069305,Left,-1,595157,0,6986321,5,486094,6,96957,195,3163,121,5057
1,03691041469574,Left,-1,593256,0,6999607,5,485149,6,421674,195,3865,122,9242
1,06587362289429,Left,-1,591432,0,7023134,5,484916,5,354564,194,907,124,0419
1,09534800052643,Left,-1,588811,0,7039654,5,484535,4,863755,193,9034,124,6367
1,12459242343903,Left,-1,584025,0,7067407,5,4849,2,831929,190,8049,124,5242
1,15246069431305,Left,-1,579079,0,7099608,5,485743,1,552001,188,4675,123,795
1,18096089363098,Left,-1,573388,0,7174766,5,486928,359,2105,187,7196,125,068
1,20887553691864,Left,-1,569326,0,7311116,5,489757,356,1232,185,1903,122,3817
1,23648726940155,Left,-1,566995,0,7510337,5,497095,350,1249,181,9283,115,8993
1,26386368274689,Left,-1,56752,0,7679161,5,502702,348,2772,182,1446,115,5516
1,29180586338043,Left,-1,566614,0,7793342,5,501842,350,5652,185,2262,123,3729
1,31939792633057,Left,-1,560994,0,7942178,5,501342,350,5708,185,024,127,4018
1,34751987457275,Left,-1,555277,0,809628,5,500569,349,788,183,0225,126,7727
1,3752533197403,Left,-1,550602,0,8254603,5,499464,348,5875,182,1503,127,33
1,40319085121155,Left,-1,545197,0,8399326,5,498205,348,3978,180,7546,128,9742
1,43090641498566,Left,-1,534927,0,8568039,5,496122,348,2808,177,7363,132,3155
1,45853042602539,Left,-1,527854,0,8741976,5,497727,347,1895,176,1564,132,5467
1,48650527000427,Left,-1,528021,0,8940265,5,501982,343,8568,177,3804,129,7414
1,51448667049408,Left,-1,528564,0,9125471,5,506325,340,433,178,7149,128,5098
1,54259598255157,Left,-1,528367,0,9297923,5,510797,337,0454,179,8345,126,2083
1,57016611099243,Left,-1,528604,0,9406942,5,514364,335,5425,180,7959,124,6014
1,59831893444061,Left,-1,528786,0,9476258,5,515137,335,8362,182,1795,123,8101
1,6258260011673,Left,-1,527164,0,9531603,5,516335,335,2656,182,6378,124,2879
1,65399503707886,Left,-1,525539,0,9613314,5,518271,334,2874,182,8966,124,2432
1,68171274662018,Left,-1,524118,0,9651281,5,519955,333,6686,182,9772,125,1843
1,70948541164398,Left,-1,5231,0,9639598,5,520659,333,9096,181,8569,125,0122
1,73731350898743,Left,-1,523716,0,9589484,5,519382,334,4829,180,9437,123,6784
1,76525115966797,Left,-1,524204,0,9555401,5,518555,334,7374,180,9949,124,4377
